path	directory	file_type	executable	referenced_by	system_used	human_useful	ai_context_useful	test_coverage	docs_coverage	recommended_action	confidence	risk	notes
bin/zsynod_tui.py	bin	python	no	none	no	no	no	none	none	relocate_candidate	high	low	Non-executable Python TUI in bin/; belongs in experiments/zsynod/
bin/__pycache__/	bin	bytecode	no	none	no	no	no	none	none	delete_candidate	high	low	Python cache in bin/ — pollution; remove when zsynod_tui.py is relocated
bin/zdots-phi-scrub	bin	go-binary	yes	lib/phi_scrubber.bash,startup	yes	yes	no	partial	docs/wiki/PHI-Safety.md	keep	high	high	SACRED: PHI Scrubber binary; do not touch
bin/ctx-mcp	bin	ruby-script	yes	.mcp.json,~/.claude.json,tests/mcp.bats	yes	no	yes	yes	docs/tooling.md	keep	high	high	Knowledge Layer MCP server; has tests; 5 unadvertised write tools (needs_human_review for that gap)
bin/ctx-mcp-register	bin	bash-script	yes	manual/docs	no	yes	no	partial	inline --help	keep_with_note	high	low	Claude Desktop only; redundant with .mcp.json for Claude Code; doc gap
bin/llama-mcp	bin	ruby-script	yes	.mcp.json,gemini-mcp-register	yes	no	yes	none	none	keep_with_note	high	medium	625 lines, 5 tools, ZERO protocol tests; create tests/llama_mcp.bats
bin/gemini-mcp-register	bin	bash-script	yes	tests/gemini_mcp_register.bats,docs	no	yes	no	yes	docs/tooling.md	keep	high	low	Well-tested, idempotent, scoped correctly
bin/zdots-secret-scan	bin	go-binary	yes	commit-msg,pre-commit,settings	yes	yes	no	none	none	keep	high	low	New Go binary shim; lacks docs_contract entry
bin/colima-status	bin	bash-script	yes	AGENTS.md,CLAUDE.md,multiple scripts	yes	yes	yes	none	AGENTS.md	keep	high	low	Authoritative Colima status; missing from docs_contract
bin/cc-hook-guard	bin	bash-script	yes	.claude/settings.json (PreToolUse)	yes	no	no	none	known-gaps	keep	high	high	PHI/security gate hook; sacred
bin/cc-hook-lint	bin	bash-script	yes	.claude/settings.json (PostToolUse)	yes	no	no	none	known-gaps	keep	high	medium	CC hook; sacred
bin/cc-hook-session	bin	bash-script	yes	.claude/settings.json (SessionStart)	yes	no	no	none	known-gaps	keep	high	medium	CC hook; emits session brief; sacred
bin/cc-statusline	bin	bash-script	yes	.claude/settings.json (statusLine)	yes	no	no	none	known-gaps	keep	high	low	CC statusline; sacred
bin/zdots-ctx	bin	ruby-script	yes	AGENTS.md,CLAUDE.md,multiple	yes	yes	yes	partial	docs/wiki/AI-and-Knowledge-Layer.md	keep	high	high	Knowledge Layer CLI; sacred
bin/zdots-ctl	bin	bash-script	yes	AGENTS.md,CLAUDE.md,tests,docs	yes	yes	yes	yes	CLAUDE.md	keep	high	high	Platform orchestrator; sacred
bin/zdots-ask	bin	bash-script	yes	AGENTS.md,tests,docs	yes	yes	yes	yes	AGENTS.md	keep	high	medium	Domain-aware AI router; sacred
bin/zdots-issue	bin	bash-script	yes	AGENTS.md,CLAUDE.md	yes	yes	yes	partial	known-gaps	keep_with_note	high	low	Issue filer; --help exits 2 (known-gap Z-119)
bin/zsynod-migrate	bin	python-script	yes	unknown	unknown	yes	no	none	none	keep_with_note	medium	low	Ledger migration tool; one-time vs recurring unclear
bin/trace-verify	bin	sh-script	yes	unknown	unknown	yes	no	none	known-gaps	keep	medium	low	Contract testing; known-gap (--help treats arg as session ID)
